INFO - Distances - Left: 58.15299175021664, Center: 0.92, Right: 51.541478102330984
INFO - {"Timestamp": "2025-08-26T12:54:58.141930", "Function": "Move Forward", "Angle": 16, "Speed": 40}
INFO - {"Timestamp": "2025-08-26T12:54:58.351207", "Function": "Turn Left", "Angle": 17, "Speed": 40}
INFO - Distances - Left: 56.86900555097054, Center: 0.87, Right: 51.52338485650034
INFO - {"Timestamp": "2025-08-26T12:54:58.411581", "Function": "Move Forward", "Angle": 17, "Speed": 40}
INFO - {"Timestamp": "2025-08-26T12:54:58.620895", "Function": "Turn Left", "Angle": 18, "Speed": 40}
INFO - Distances - Left: 56.41643419855882, Center: 0.8, Right: 51.52846124960888
INFO - {"Timestamp": "2025-08-26T12:54:58.681372", "Function": "Stopped", "Angle": 18, "Speed": "0.0"}
INFO - Distances - Left: 56.46534600382438, Center: 0.8, Right: 51.53482390251156
INFO - {"Timestamp": "2025-08-26T12:54:58.742394", "Function": "Move Forward", "Angle": 18, "Speed": 0}
INFO - {"Timestamp": "2025-08-26T12:54:58.951628", "Function": "Turn Left", "Angle": 19, "Speed": 0}
INFO - Distances - Left: 56.451368753459974, Center: 0.8, Right: 51.54497670432647
INFO - {"Timestamp": "2025-08-26T12:54:59.012250", "Function": "Stopped", "Angle": 19, "Speed": "0.0"}
INFO - {"Timestamp": "2025-08-26T12:54:59.561468", "Function": "Stopped", "Angle": 25, "Speed": 0.0}
INFO - {"Timestamp": "2025-08-26T12:54:59.561930", "Function": "Move Backward", "Angle": 25, "Speed": 30}
INFO - {"Timestamp": "2025-08-26T12:54:59.645457", "Function": "Stopped", "Angle": 25, "Speed": "0.0"}
INFO - {"Timestamp": "2025-08-26T12:54:59.750378", "Function": "Stopped", "Angle": 25, "Speed": 0.0}
INFO - {"Timestamp": "2025-08-26T12:55:00.727674", "Function": "Move Forward", "Angle": 25, "Speed": 0}
INFO - {"Timestamp": "2025-08-26T12:55:00.937475", "Function": "Turn Right", "Angle": 35, "Speed": 0}
